System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =  0.0430116291 + j-0.1534871242
[   2,   1] = 0.006333273712 + j-0.006773702671
[   3,   1] = 0.006333273712 + j-0.006773702671
[   2,   2] =  0.0430116291 + j-0.1534871242
[   3,   2] = 0.006333273712 + j-0.006773702671
[   3,   3] =  0.0430116291 + j-0.1534871242
[   4,   4] =   1.145090744 + j -3.300510291
[   5,   4] = -0.4858442625 + j  1.220257867
[   6,   4] = -0.2660516357 + j 0.9121918679
[   7,   4] =  -1.145090744 + j  3.300510491
[   8,   4] =  0.4858442625 + j  -1.22025791
[   9,   4] =  0.2660516357 + j-0.9121919108
[   5,   5] =   1.002683767 + j -3.127559464
[   6,   5] = -0.1263013779 + j 0.6966811886
[   7,   5] =  0.4858442625 + j  -1.22025791
[   8,   5] =  -1.002683767 + j  3.127559664
[   9,   5] =  0.1263013779 + j-0.6966812314
[   6,   6] =  0.8866941927 + j -2.950512888
[   7,   6] =  0.2660516357 + j-0.9121919108
[   8,   6] =  0.1263013779 + j-0.6966812314
[   9,   6] = -0.8866941927 + j  2.950513088
[   7,   7] =   10.14311659 + j -20.33071701
[   8,   7] =  -3.437763365 + j   6.38507005
[   9,   7] =  -3.203229146 + j  5.337470868
[  10,   7] =  -3.433555455 + j  9.896583182
[  11,   7] =   1.456804385 + j -3.658944259
[  12,   7] =  0.7977560291 + j -2.735208128
[  19,   7] =  -5.564470387 + j  7.133623651
[  20,   7] =   1.495114717 + j -1.505867949
[  21,   7] =   2.139421481 + j -1.690070897
[   8,   8] =   13.25248329 + j -23.55563574
[   9,   8] =  -3.037611028 + j  4.767628485
[  10,   8] =   1.456804385 + j -3.658944259
[  11,   8] =  -3.006548026 + j  9.377989998
[  12,   8] =  0.3787147764 + j -2.088999195
[  19,   8] =   1.495114717 + j -1.505867949
[  20,   8] =  -4.908407178 + j  7.063229386
[  21,   8] =   1.087994259 + j -1.382358913
[  25,   8] =   1.444600615 + j-0.5995892246
[  26,   8] =  -4.334844321 + j   3.98685706
[   9,   9] =   13.03943252 + j -22.88819196
[  10,   9] =  0.7977560291 + j -2.735208128
[  11,   9] =  0.3787147764 + j -2.088999195
[  12,   9] =  -2.658753201 + j  8.847115706
[  19,   9] =   2.139421481 + j -1.690070897
[  20,   9] =   1.087994259 + j -1.382358913
[  21,   9] =   -5.18906181 + j  7.085419674
[  25,   9] =  -4.304923316 + j  4.005143858
[  26,   9] =   1.444600615 + j-0.5995892246
[  10,  10] =   5.151621088 + j -14.84858672
[  11,  10] =  -2.185753016 + j  5.489788793
[  12,  10] =  -1.196933277 + j  4.103838109
[  13,  10] =  -1.718065633 + j  4.952003738
[  14,  10] =  0.7289486309 + j -1.830844577
[  15,  10] =  0.3991772479 + j -1.368630024
[  11,  11] =   4.510949776 + j -14.07050242
[  12,  11] = -0.5682142182 + j   3.13428232
[  13,  11] =  0.7289486309 + j -1.830844577
[  14,  11] =   -1.50440175 + j  4.692512625
[  15,  11] =  0.1894994418 + j -1.045283168
[  12,  12] =   3.989127084 + j -13.27399186
[  13,  12] =  0.3991772479 + j -1.368630024
[  14,  12] =  0.1894994418 + j -1.045283168
[  15,  12] =  -1.330373882 + j  4.426876351
[  13,  13] =   531.8072535 + j -410.0459437
[  14,  13] =   -123.127401 + j  158.2369152
[  15,  13] =  -57.38503727 + j  128.8186274
[  16,  13] =  -2.290181489 + j  6.601020982
[  17,  13] =   0.971688525 + j -2.440515821
[  18,  13] =  0.5321032714 + j -1.824383822
[  29,  13] =  -520.6241342 + j  391.8176796
[  30,  13] =   121.4267639 + j -153.9655549
[  31,  13] =   54.04608906 + j -124.6262983
[  35,  13] =  -7.174872193 + j  6.675239763
[  36,  13] =   2.407667692 + j-0.9993153744
[  14,  14] =   580.8312426 + j -420.8083953
[  15,  14] =  -121.8688661 + j  156.4042005
[  16,  14] =   0.971688525 + j -2.440515821
[  17,  14] =  -2.005367533 + j  6.255119329
[  18,  14] =  0.2526027559 + j -1.393362463
[  29,  14] =   121.4267639 + j -153.9655549
[  30,  14] =  -577.3214733 + j  409.8607637
[  31,  14] =   121.4267639 + j -153.9655549
[  15,  15] =    530.952637 + j -408.7903435
[  16,  15] =  0.5321032714 + j -1.824383822
[  17,  15] =  0.2526027559 + j -1.393362463
[  18,  15] =  -1.773388385 + j  5.901026176
[  29,  15] =   54.04608906 + j -124.6262983
[  30,  15] =   121.4267639 + j -153.9655549
[  31,  15] =  -520.6241342 + j  391.8176796
[  35,  15] =   2.407667692 + j-0.9993153744
[  36,  15] =  -7.224740535 + j  6.644761767
[  16,  16] =   2.290181489 + j -6.601020882
[  17,  16] =  -0.971688525 + j  2.440515799
[  18,  16] = -0.5321032714 + j    1.8243838
[  17,  17] =   2.005367533 + j -6.255119229
[  18,  17] = -0.2526027559 + j  1.393362441
[  18,  18] =   1.773388385 + j -5.901026076
[  19,  19] =   283.7879897 + j -363.8148061
[  20,  19] =  -76.25085057 + j  76.79926538
[  21,  19] =  -109.1104955 + j  86.19361572
[  22,  19] =  -278.2235193 + j  356.6811825
[  23,  19] =   74.75573585 + j -75.29339745
[  24,  19] =   106.9710741 + j -84.50354484
[  20,  20] =   250.3287661 + j -360.2246986
[  21,  20] =  -55.48770721 + j  70.50030457
[  22,  20] =   74.75573585 + j -75.29339745
[  23,  20] =  -245.4203589 + j  353.1614693
[  24,  20] =   54.39971295 + j -69.11794566
[  21,  21] =   264.6421523 + j -361.3564033
[  22,  21] =   106.9710741 + j -84.50354484
[  23,  21] =   54.39971295 + j -69.11794566
