System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =  0.0430116291 + j-0.1534871242
[   2,   1] = 0.006333273712 + j-0.006773702671
[   3,   1] = 0.006333273712 + j-0.006773702671
[   2,   2] =  0.0430116291 + j-0.1534871242
[   3,   2] = 0.006333273712 + j-0.006773702671
[   3,   3] =  0.0430116291 + j-0.1534871242
[   4,   4] =    531.813032 + j -410.0490256
[   5,   4] =  -123.1302903 + j  158.2384562
[   6,   4] =  -57.38792651 + j  128.8201684
[  13,   4] =  -520.6241342 + j  391.8176796
[  14,   4] =   121.4267639 + j -153.9655549
[  15,   4] =   54.04608906 + j -124.6262983
[  21,   4] =  -1.718065633 + j  4.952003738
[  22,   4] =  0.7289486309 + j -1.830844577
[  23,   4] =  0.3991772479 + j -1.368630024
[  30,   4] =  -2.290181489 + j  6.601020982
[  31,   4] =   0.971688525 + j -2.440515821
[  32,   4] =  0.5321032714 + j -1.824383822
[  37,   4] =  -7.174872193 + j  6.675239763
[  38,   4] =   2.407667692 + j-0.9993153744
[   5,   5] =    580.837021 + j -420.8114772
[   6,   5] =  -121.8717553 + j  156.4057414
[  13,   5] =   121.4267639 + j -153.9655549
[  14,   5] =  -577.3214733 + j  409.8607637
[  15,   5] =   121.4267639 + j -153.9655549
[  21,   5] =  0.7289486309 + j -1.830844577
[  22,   5] =   -1.50440175 + j  4.692512625
[  23,   5] =  0.1894994418 + j -1.045283168
[  30,   5] =   0.971688525 + j -2.440515821
[  31,   5] =  -2.005367533 + j  6.255119329
[  32,   5] =  0.2526027559 + j -1.393362463
[   6,   6] =   530.9584155 + j -408.7934254
[  13,   6] =   54.04608906 + j -124.6262983
[  14,   6] =   121.4267639 + j -153.9655549
[  15,   6] =  -520.6241342 + j  391.8176796
[  21,   6] =  0.3991772479 + j -1.368630024
[  22,   6] =  0.1894994418 + j -1.045283168
[  23,   6] =  -1.330373882 + j  4.426876351
[  30,   6] =  0.5321032714 + j -1.824383822
[  31,   6] =  0.2526027559 + j -1.393362463
[  32,   6] =  -1.773388385 + j  5.901026176
[  37,   6] =   2.407667692 + j-0.9993153744
[  38,   6] =  -7.224740535 + j  6.644761767
[   7,   7] =   278.2374082 + j -356.6898631
[   8,   7] =  -74.75573585 + j  75.29339745
[   9,   7] =  -106.9710741 + j  84.50354484
[  33,   7] =  -278.2235193 + j  356.6811825
[  34,   7] =   74.75573585 + j -75.29339745
[  35,   7] =   106.9710741 + j -84.50354484
[   8,   8] =   245.4307756 + j -353.1675457
[   9,   8] =  -54.39971295 + j  69.11794566
[  33,   8] =   74.75573585 + j -75.29339745
[  34,   8] =  -245.4203589 + j  353.1614693
[  35,   8] =   54.39971295 + j -69.11794566
[   9,   9] =   259.4635071 + j  -354.276192
[  33,   9] =   106.9710741 + j -84.50354484
[  34,   9] =   54.39971295 + j -69.11794566
[  35,   9] =  -259.4530905 + j  354.2709837
[  10,  10] =    11.5743418 + j -10.64064653
[  11,  10] =  -7.224740535 + j  6.644761767
[  12,  10] =   2.407667692 + j-0.9993153744
[  28,  10] =  -4.334844321 + j   3.98685706
[  29,  10] =   1.444600615 + j-0.5995892246
[  36,  10] =  -3.852268307 + j  1.598904582
[  11,  11] =   7.231385783 + j -6.648575532
[  12,  11] =   -2.41431294 + j  1.003129162
[  36,  11] =   2.407667692 + j-0.9993153744
[  12,  12] =   7.181517441 + j -6.679053527
[  36,  12] =  -7.174872193 + j  6.675239763
[  13,  13] =   531.0398914 + j -399.6557598
[  14,  13] =  -123.8569364 + j  157.0457328
[  15,  13] =  -55.12864808 + j   127.119691
[  16,  13] =  -10.41248268 + j  7.836353592
[  17,  13] =   2.428535277 + j -3.079311098
[  18,  13] =   1.080921781 + j -2.492525966
[  14,  14] =   588.8711772 + j -418.0597056
[  15,  14] =  -123.8569364 + j  157.0457328
[  16,  14] =   2.428535277 + j -3.079311098
[  17,  14] =  -11.54642947 + j  8.197215275
[  18,  14] =   2.428535277 + j -3.079311098
[  15,  15] =   531.0398914 + j -399.6557598
[  16,  15] =   1.080921781 + j -2.492525966
[  17,  15] =   2.428535277 + j -3.079311098
[  18,  15] =  -10.41248268 + j  7.836353592
[  16,  16] =    10.4376563 + j -7.847631461
[  17,  16] =  -2.428535277 + j  3.079311098
[  18,  16] =  -1.080921781 + j  2.492525966
[  17,  17] =   11.55233224 + j -8.200680643
[  18,  17] =  -2.428535277 + j  3.079311098
[  18,  18] =    10.4376563 + j -7.846068961
[  19,  19] =   6.544580184 + j  -6.62666817
[  38,  19] =   -6.52982324 + j  6.619723755
[  20,  20] =   4.302083723 + j -1.645219704
[  37,  20] =  -4.290972612 + j  1.637761167
[  21,  21] =   5.153096783 + j -14.84945478
[  22,  21] =  -2.185753016 + j  5.489788793
[  23,  21] =  -1.196933277 + j  4.103838109
[  27,  21] =  -3.433555455 + j  9.896583182
[  28,  21] =   1.456804385 + j -3.658944259
[  29,  21] =  0.7977560291 + j -2.735208128
[  22,  22] =   4.516678943 + j -14.07380103
[  23,  22] = -0.5682142182 + j   3.13428232
[  27,  22] =   1.456804385 + j -3.658944259
[  28,  22] =  -3.006548026 + j  9.377989998
[  29,  22] =  0.3787147764 + j -2.088999195
[  23,  23] =   3.999196528 + j -13.27989464
[  27,  23] =  0.7977560291 + j -2.735208128
[  28,  23] =  0.3787147764 + j -2.088999195
[  29,  23] =  -2.658753201 + j  8.847115706
[  24,  24] =   1.145090744 + j -3.300510291
[  25,  24] = -0.4858442625 + j  1.220257867
[  26,  24] = -0.2660516357 + j 0.9121918679
[  27,  24] =  -1.145090744 + j  3.300510491
